MedInc,HouseAge,Latitude,Longitude,price
8.3252,41.0,37.88,-122.23,4.526
8.3014,21.0,37.86,-122.22,3.585
7.2574,52.0,37.85,-122.24,3.521
5.6431,52.0,37.85,-122.25,3.413
3.8462,52.0,37.85,-122.25,3.422
4.0368,52.0,37.85,-122.25,2.697
3.6591,52.0,37.84,-122.25,2.992
3.12,52.0,37.84,-122.25,2.414
2.0804,42.0,37.84,-122.26,2.267
3.6912,52.0,37.84,-122.25,2.611
3.2031,52.0,37.85,-122.26,2.815
3.2705,52.0,37.85,-122.26,2.418
3.075,52.0,37.85,-122.26,2.135
2.6736,52.0,37.84,-122.26,1.913
1.9167,52.0,37.85,-122.26,1.592
2.125,50.0,37.85,-122.26,1.4
2.775,52.0,37.85,-122.27,1.525
2.1202,52.0,37.85,-122.27,1.555
1.9911,50.0,37.84,-122.26,1.587
2.6033,52.0,37.84,-122.27,1.629
1.3578,40.0,37.85,-122.27,1.475
1.7135,42.0,37.85,-122.27,1.598
1.725,52.0,37.84,-122.27,1.139
2.1806,52.0,37.84,-122.27,0.997
2.6,52.0,37.84,-122.27,1.326
2.4038,41.0,37.85,-122.28,1.075
2.4597,49.0,37.85,-122.28,0.938
1.808,52.0,37.85,-122.28,1.055
1.6424,50.0,37.84,-122.28,1.089
1.6875,52.0,37.84,-122.28,1.32
1.9274,49.0,37.84,-122.28,1.223
1.9615,52.0,37.84,-122.28,1.152
1.7969,48.0,37.84,-122.27,1.104
1.375,49.0,37.83,-122.27,1.049
2.7303,51.0,37.83,-122.27,1.097
1.4861,49.0,37.83,-122.27,0.972
1.0972,48.0,37.83,-122.27,1.045
1.4103,52.0,37.83,-122.28,1.039
3.48,52.0,37.83,-122.26,1.914
2.5898,52.0,37.83,-122.26,1.76
2.0978,52.0,37.83,-122.26,1.554
1.2852,51.0,37.83,-122.26,1.5
1.025,49.0,37.84,-122.26,1.188
3.9643,52.0,37.84,-122.26,1.888
3.0125,52.0,37.83,-122.26,1.844
2.6768,52.0,37.83,-122.26,1.823
2.026,50.0,37.83,-122.26,1.425
1.7348,43.0,37.82,-122.27,1.375
0.9506,40.0,37.82,-122.26,1.875
1.775,40.0,37.82,-122.27,1.125
0.9218,21.0,37.82,-122.27,1.719
1.5045,43.0,37.82,-122.27,0.938
1.1108,41.0,37.82,-122.27,0.975
1.2475,52.0,37.82,-122.27,1.042
1.6098,52.0,37.82,-122.28,0.875
1.4113,52.0,37.82,-122.28,0.831
1.5057,52.0,37.82,-122.28,0.875
0.8172,52.0,37.82,-122.28,0.853
1.2171,52.0,37.82,-122.28,0.803
2.5625,2.0,37.82,-122.29,0.6
3.3929,52.0,37.83,-122.29,0.757
6.1183,49.0,37.82,-122.29,0.75
0.9011,50.0,37.81,-122.29,0.861
1.191,52.0,37.81,-122.3,0.761
2.5938,48.0,37.81,-122.3,0.735
1.1667,52.0,37.81,-122.3,0.784
0.8056,48.0,37.81,-122.3,0.844
2.6094,52.0,37.8,-122.29,0.813
1.8516,52.0,37.81,-122.3,0.85
0.9802,46.0,37.81,-122.29,1.292
1.7719,26.0,37.81,-122.29,0.825
0.7286,46.0,37.81,-122.29,0.952
1.75,49.0,37.81,-122.29,0.75
0.4999,46.0,37.81,-122.29,0.675
2.483,20.0,37.81,-122.29,1.375
0.9241,17.0,37.81,-122.28,1.775
2.4464,36.0,37.81,-122.28,1.021
1.1111,19.0,37.81,-122.28,1.083
0.8026,23.0,37.81,-122.29,1.125
2.0114,38.0,37.8,-122.28,1.313
1.5,17.0,37.81,-122.28,1.625
1.1667,52.0,37.81,-122.27,1.125
1.5208,52.0,37.81,-122.28,1.125
0.8075,52.0,37.81,-122.28,1.375
1.8088,35.0,37.81,-122.28,1.188
2.4083,52.0,37.81,-122.28,0.982
0.977,40.0,37.81,-122.27,1.188
0.76,10.0,37.81,-122.27,1.625
0.9722,10.0,37.8,-122.27,1.375
2.0938,16.0,37.8,-122.27,1.625
0.8668,52.0,37.8,-122.28,1.375
0.75,52.0,37.8,-122.28,1.625
2.6354,27.0,37.79,-122.27,1.875
1.8477,39.0,37.8,-122.27,1.792
2.0096,36.0,37.8,-122.26,1.3
2.8345,31.0,37.82,-122.26,1.838
2.0062,29.0,37.81,-122.26,1.25
1.2185,22.0,37.82,-122.26,1.7
2.6104,37.0,37.82,-122.26,1.931
2.4912,29.0,37.81,-122.25,2.578
3.2177,28.0,37.81,-122.25,2.734
3.125,39.0,37.81,-122.25,2.375
2.5795,52.0,37.81,-122.25,3.5
2.8406,34.0,37.81,-122.26,3.357
4.9306,52.0,37.82,-122.24,3.134
3.2727,52.0,37.81,-122.24,2.685
3.1691,52.0,37.81,-122.25,2.594
3.9,52.0,37.82,-122.24,2.757
3.9063,28.0,37.82,-122.25,2.25
5.0917,52.0,37.82,-122.25,2.625
2.6429,32.0,37.82,-122.25,2.185
3.0233,26.0,37.82,-122.25,2.55
3.1484,52.0,37.83,-122.25,2.241
3.4722,35.0,37.83,-122.25,2.431
3.1429,52.0,37.83,-122.25,2.316
2.4234,28.0,37.83,-122.25,2.185
3.0897,52.0,37.83,-122.25,2.341
5.8596,50.0,37.84,-122.23,3.276
5.2868,47.0,37.84,-122.23,3.476
5.956,41.0,37.83,-122.24,3.661
4.9643,37.0,37.85,-122.24,3.35
6.3434,52.0,37.85,-122.23,3.736
5.1773,52.0,37.84,-122.24,3.895
7.2354,52.0,37.85,-122.24,3.911
5.457,28.0,37.85,-122.22,3.373
7.5,50.0,37.84,-122.22,2.952
6.0194,44.0,37.84,-122.21,2.923
7.5544,40.0,37.83,-122.21,4.115
6.0666,30.0,37.84,-122.2,3.115
7.0548,34.0,37.84,-122.21,3.259
7.4882,35.0,37.84,-122.2,3.193
6.8976,34.0,37.83,-122.21,3.333
8.2049,28.0,37.83,-122.19,3.352
8.401,26.0,37.83,-122.2,3.512
6.8538,29.0,37.83,-122.19,3.689
8.317,32.0,37.82,-122.19,3.659
7.0175,37.0,37.82,-122.2,3.667
6.3302,39.0,37.82,-122.2,3.628
6.3624,30.0,37.81,-122.18,4.833
7.0549,52.0,37.82,-122.21,3.314
6.7851,45.0,37.81,-122.2,3.235
2.8929,50.0,37.8,-122.21,2.167
3.0812,38.0,37.8,-122.21,2.331
5.2402,52.0,37.81,-122.21,2.964
6.5217,52.0,37.81,-122.22,2.737
3.2632,52.0,37.8,-122.22,2.277
3.0298,52.0,37.8,-122.22,1.996
