timestamp,label,valid,value1,value2,value3,value4,value5
2023-01-01 07:00:00,A,True,9.0,2,3.1,0.98,1.23
2023-01-01 08:00:00,B,False,11.0,,0.4,0.4,1.11
2023-01-01 10:00:00,D,True,9.5,5,,2.56,
2023-01-01 10:15:00,C,True,10.2,8,5.6,,
2023-01-01 11:00:00,E,False,15.0,7,4.4,3.14,2.34
2023-01-01 12:00:00,F,True,400.0,,2.2,2.71,2.45
2023-01-01 16:00:00,G,False,9.0,1,1.1,3.58,0.98
2023-01-01 17:00:00,H,True,11.0,4,0.9,4.12,1.05
2023-01-01 18:00:00,I,True,11.3,6,3.3,3.33,1.67
2023-01-01 19:00:00,J,False,10.0,9,4.1,2.98,2.89
2023-01-01 20:00:00,K,,,,,3.87,
