bo-acc,bo-donor,q-acc,q-donor,q-hatom,dist-dh,dist-ah,HB-type
0.2457,0.8981,-0.088121,0.069022,0.030216,1.02920141866508,1.67079858047685,strong
0.2061,0.9089,-0.100112,0.07094,0.042037,1.02724726516983,1.77275273170406,strong
0.1748,0.9185,-0.108372,0.072666,0.050028,1.02513525846846,1.87486474192861,strong
0.1496,0.9269,-0.114255,0.074115,0.055766,1.02310145850634,1.97689853997255,strong
0.1289,0.9341,-0.118741,0.075412,0.060208,1.02110665365625,2.07889334633488,strong
0.1114,0.9403,-0.122414,0.076413,0.064003,1.01935707803232,2.18064292038992,strong
0.0964,0.9456,-0.12559,0.077191,0.067416,1.0178125304212,2.28218746709666,strong
0.0833,0.9501,-0.128424,0.077933,0.070561,1.01648269602869,2.38351729947543,strong
0.0717,0.9541,-0.130889,0.078302,0.073439,1.0152747751585,2.48472522459609,strong
0.1732,1.1837,-0.090699,-0.146806,0.050377,0.94252860023047,1.7574713989267,strong
0.143,1.1933,-0.09851,-0.140257,0.059915,0.9405416545137,1.85945834241474,strong
0.119,1.2021,-0.10394,-0.134525,0.066766,0.93823149929281,1.96176850100218,strong
0.0996,1.2091,-0.108133,-0.129692,0.072411,0.93647018313035,2.06352981341605,strong
0.0834,1.2149,-0.111423,-0.125919,0.07734,0.93494148599723,2.16505851475811,strong
0.0699,1.2199,-0.114137,-0.122442,0.081442,0.93350410452334,2.26649588941513,strong
0.058,1.2241,-0.116454,-0.119701,0.085323,0.93220912167962,2.36779087729627,strong
0.0481,1.2272,-0.118186,-0.117467,0.088744,0.9313340350914,2.46866596485669,strong
0.0391,1.2301,-0.119895,-0.115547,0.091966,0.93036771576032,2.56963228410916,strong
0.2655,1.0096,-0.047257,-0.084833,0.026435,0.99534738828747,1.70465261082788,strong
0.224,1.0236,-0.063927,-0.080427,0.038185,0.99106392427548,1.80893607341652,strong
0.1908,1.036,-0.076033,-0.077119,0.046148,0.98713257073256,1.91286739286571,strong
0.1638,1.0463,-0.085427,-0.074205,0.052293,0.98393877282452,2.01606122607156,strong
0.1417,1.0545,-0.092794,-0.07144,0.057328,0.98153672457006,2.11846327554889,strong
0.1227,1.0617,-0.098975,-0.069496,0.061591,0.97943072918635,2.22056921768392,strong
0.1056,1.0685,-0.104761,-0.068019,0.065376,0.97719300837428,2.32280701324821,strong
0.0918,1.0736,-0.109296,-0.06587,0.068536,0.97541480528945,2.42458519751469,strong
0.076,1.0793,-0.113759,-0.065362,0.072845,0.97373677351188,2.52626322709288,strong
0.1537,1.0246,-0.152243,-0.171089,0.016206,1.00884906722547,1.69115093189341,weak
0.1259,1.03,-0.160246,-0.170224,0.024937,1.01161841373648,1.7883815835444,weak
0.1046,1.0347,-0.165582,-0.169173,0.030911,1.01378005923297,1.88621994158199,weak
0.0878,1.0388,-0.16968,-0.168015,0.035227,1.01540803505019,1.9845919640397,weak
0.0742,1.0424,-0.173031,-0.166751,0.038508,1.01649529788909,2.0835047047005,weak
0.0627,1.0458,-0.175798,-0.165178,0.040967,1.01667449186578,2.18332550919453,weak
0.0532,1.0482,-0.178355,-0.164148,0.043243,1.01735534873176,2.2826446502103,weak
0.0449,1.051,-0.180474,-0.162535,0.044838,1.01674070696028,2.38325929564304,weak
0.0377,1.0527,-0.182474,-0.161662,0.046517,1.0169534711212,2.483046528222,weak
0.265,1.041,0.297191,-0.080899,-0.005012,0.98120948107847,2.01879051807684,strong
0.228,1.0491,0.280042,-0.078154,0.009506,0.97988743986403,2.12011256274249,strong
0.1968,1.0561,0.266059,-0.076096,0.021509,0.97898966851616,2.22101032932183,strong
